subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
60,-3.09838317530376,-3.142624211846356,32816.99455966576
61,-3.0983841175638918,-3.142708647065456,44752.29214359219
62,-3.098384953378491,-3.1427938979293106,44754.42756096266
63,-3.0983849533784897,-3.1428316951848716,62281.91347925884
64,-3.0983849533784884,-3.1428654315476905,62284.85079858904
65,-3.098387156570899,-3.142898261044619,64916.062626766594
66,-3.0983890433445502,-3.1429282260052838,64919.138627863795
67,-3.0983890433445436,-3.1429866256266172,68430.37489125371
68,-3.0983890433445582,-3.143045769822693,68430.99153410284
69,-3.098389043344553,-3.143133370961077,75299.96616312709
70,-3.098389043344545,-3.143171996901133,75304.30474557122
71,-3.098389043344545,-3.1432075333294676,79995.31288279808
72,-3.0983890433445525,-3.1432541194517736,79996.05774801369
73,-3.098389043344538,-3.1432917438277257,82838.04191117389
74,-3.09838904334455,-3.1433295404624286,82838.9636516482
75,-3.098389043344544,-3.143379256955412,90343.8496589509
76,-3.098389043344542,-3.1434292003555537,90348.18065173806
77,-3.0984243260372217,-3.143456548182822,91043.39857325546
78,-3.098456568278298,-3.143484116140117,91044.28538013494
79,-3.0984565682783023,-3.1435374295773855,95364.15348574443
80,-3.098456568278293,-3.143591434332674,95365.84042057628
81,-3.0985417001830804,-3.1436250540470487,104795.21277960968
82,-3.0986181951112597,-3.143659563847285,104801.19266815385
83,-3.0986181951112646,-3.1437096327140455,111440.83216385693
84,-3.098618195111263,-3.14375999581636,111447.44070422371
85,-3.0986181951112726,-3.1438140666203673,111481.01405975154
86,-3.09861819511127,-3.143868862179411,111482.95263467947
87,-3.098618578054681,-3.143903025255443,111679.44677975963
88,-3.0986189637738732,-3.143938052627441,111680.54658356849
89,-3.0986189637738693,-3.143949674093897,115072.96331733276
90,-3.0986189637738724,-3.143961681500906,115075.15516453848
91,-3.0986278942035415,-3.1439782361533326,115285.91386531747
92,-3.0986368926034706,-3.1439953673203753,115287.26060129123
93,-3.0986632299149286,-3.1440055720978517,126877.61802580662
94,-3.0986873349368675,-3.1440159897749282,126879.76988993121
95,-3.098734164178592,-3.144037933473428,155092.48989368882
96,-3.0987750501359996,-3.1440583649617326,155101.77304782261
97,-3.0987751763532465,-3.1440718990366014,155635.92674906112
98,-3.0987753032757306,-3.144085773186987,155638.549646731
99,-3.0987923319770467,-3.1441103000719135,160147.4248991792
100,-3.0988094623259292,-3.144133254239075,160150.3864681225
101,-3.099246720405723,-3.144149510534164,380059.8386862496
102,-3.1053536713003775,-3.144163837057345,529644.3026429103
103,-3.1117060563975953,-3.144184869085749,529658.4445726222
104,-3.1119304594785984,-3.144206873871116,738122.129621228
105,-3.111973323334295,-3.1442278662987513,779378.8602700507
106,-3.112016093280994,-3.1442500424700377,779401.2220420431
107,-3.1120741582562936,-3.1442703724417433,873564.2952394787
108,-3.1121321250050884,-3.1442885079580756,873578.4123527415
109,-3.112132125005079,-3.1443049826886638,893156.173951369
110,-3.112132125005083,-3.1443191525482965,893156.1947116248
111,-3.1121321250050804,-3.144332322212172,1044102.2625216946
112,-3.112132125005081,-3.1443461989517334,1044102.5516019561
113,-3.1121321250050804,-3.1443622745127606,1084664.146076661
114,-3.112132125005081,-3.1443768992601675,1084694.6653713924
115,-3.1121681645338937,-3.1443892931888,1176161.6560765938
116,-3.112205170392088,-3.144402390623188,1176218.9980882055
117,-3.112278035330508,-3.1444172850573424,1188302.3518799373
118,-3.112351069990666,-3.1444320888757122,1188303.1908098736
119,-3.1124497533617643,-3.1444448818546724,1193898.1060573312
120,-3.1125492074157624,-3.1444575632549525,1193898.9697996043
121,-3.1125492074157646,-3.1444629357830944,1215741.654115688
122,-3.1125492074157637,-3.1444684147473847,1215761.9752956512
123,-3.112570148122113,-3.1444760486288597,1367914.8963023287
124,-3.112591509420446,-3.144483658843768,1367964.1889562476
125,-3.112595373896293,-3.144492443374638,1374936.9057967423
126,-3.112598851602737,-3.144501248788107,1375003.5261429437
127,-3.1126765708942337,-3.144510384053434,1395670.8750860353
128,-3.1127544958467914,-3.14451897254843,1395671.4659439411
129,-3.1128393635245586,-3.144527028218298,1457644.940157394
130,-3.1129250554597956,-3.144534688919813,1457646.1257567462
131,-3.112925055459796,-3.1445441580010622,1564828.962264038
132,-3.1129250554597983,-3.1445536497719906,1564904.1119905775
133,-3.1129250554598014,-3.14455796879198,1588426.48365437
134,-3.1129250554598062,-3.1445622944412035,1588426.4928196508
135,-3.11292880454722,-3.1445688046778852,1599096.6044047084
136,-3.1129322317392094,-3.1445753585942255,1599154.7075921446
137,-3.112932231739196,-3.144581701507795,1819946.4976811644
138,-3.112932231739211,-3.1445880934535317,1820013.4064559021
139,-3.1129322317391983,-3.1445932847863167,1919515.9046586053
140,-3.1129322317392054,-3.144598164147982,1919607.8818373312
141,-3.1129322317392027,-3.1446035422491025,1948461.8734009957
142,-3.11293223173922,-3.144608601758529,1948462.0938616956
143,-3.1129322317392107,-3.144613041647758,2232458.599030152
144,-3.1129322317392067,-3.144617515594975,2232540.91318034
145,-3.1129322317392027,-3.1446235286052877,2797081.3273537005
146,-3.1129322317392023,-3.1446295775886592,2797215.574917029
147,-3.1129322317392063,-3.1446317066477034,3269797.4174079956
148,-3.112932231739211,-3.144633701145219,3269953.371901275
149,-3.1129474777224297,-3.1446364837676124,3721387.998186854
150,-3.112963040651948,-3.1446392745394673,3721563.8945014616
151,-3.112963040651959,-3.144641906783039,4057346.531681898
152,-3.112963040651952,-3.1446444060518384,4057537.6532950173
153,-3.1129636617762606,-3.1446477213228,4564884.483982374
154,-3.1129642888514075,-3.144650688159482,4565099.759089418
155,-3.112967319177221,-3.144653662605339,4706354.003711197
156,-3.1129704970186753,-3.1446565875333317,4706626.485294255
157,-3.1129704970186602,-3.1446592962148014,4743050.228668459
158,-3.1129704970186705,-3.1446627429527125,4743275.073925666
159,-3.112970542502475,-3.144663749405605,4960512.536551771
160,-3.112970587955392,-3.1446648065875022,4960557.352245504
161,-3.112982892046888,-3.1446663540197792,5177495.806731772
162,-3.1129952261357654,-3.144667838117191,5177551.971280073
163,-3.1130061707294105,-3.144668952759854,5398108.9248854015
164,-3.1130172233255027,-3.1446700169164385,5398367.139881857
165,-3.1130194315783264,-3.1446713213290463,5501743.555416
166,-3.113021708301971,-3.1446725383350285,5502060.436055002
167,-3.1130253858850736,-3.144674166998186,6052508.080908087
168,-3.1130288480848685,-3.1446748837794,6052575.553891433
169,-3.1130288480848676,-3.1446756998960854,6261587.438789106
170,-3.113028848084868,-3.144676469288421,6261945.396573506
171,-3.11302884808487,-3.1446768382160477,6532300.632450332
172,-3.1130288480848787,-3.144677222671864,6532677.972077607
173,-3.1130298314140856,-3.1446777016444174,6621653.275640989
174,-3.1130308237180047,-3.1446781878013055,6621970.729118689
175,-3.113030823717998,-3.1446786936916933,6630807.349471752
176,-3.113030823718,-3.1446791742041325,6630871.898492443
177,-3.1130308237180007,-3.1446794546856034,6888414.904824488
178,-3.113030823718003,-3.1446797401822764,6888494.65243808
179,-3.1130308795371247,-3.144680154120914,6912940.206026786
180,-3.1130309353299905,-3.1446805514496594,6913062.33111882
181,-3.113035513051838,-3.1446808802567876,6965211.005901868
182,-3.1130402769458154,-3.14468118713881,6965622.1043367665
183,-3.1130507130790575,-3.14468153295777,7192222.377021984
184,-3.1130611774948163,-3.1446818660766303,7192361.378631766
185,-3.1130611774948256,-3.1446820975626517,7597350.089800979
186,-3.1130611774948194,-3.144682329901332,7597555.395995971
187,-3.1130611774948154,-3.1446826032575266,7680850.090975149
188,-3.1130611774948327,-3.144682864650134,7681288.35932784
189,-3.1130639579277775,-3.1446831336373027,8142352.494740522
190,-3.1130668346446364,-3.144683391493924,8142835.51381353
191,-3.1130707927477648,-3.144683579608197,8407731.989709362
192,-3.113074545491759,-3.144683769663034,8407891.959734669
193,-3.113074545491758,-3.144683872842867,8449754.488693196
194,-3.113074545491761,-3.144683976495748,8449853.219344739
195,-3.11307454549175,-3.144684109016375,9103535.391753476
196,-3.1177516707942154,-3.144684234991167,9103818.179978939
197,-3.117752477758436,-3.144684239022114,9240659.404401725
198,-3.1177532850191874,-3.144684242879178,9240816.180741563
199,-3.117804540084471,-3.1446842440077356,9266885.98104115
200,-3.1178654565133543,-3.1446842450816965,9267439.686320586
201,-3.117879140864432,-3.1446842450816863,9568920.922103763
202,-3.1178927965507586,-3.144684245081686,9569098.879236959
203,-3.1179381397211365,-3.14468424508169,10587525.385886744
204,-3.1179990517737375,-3.144684245081668,10588094.199870419
205,-3.118019819664064,-3.1446842450816805,11367333.776551265
206,-3.118044557429361,-3.1446842450816903,11368014.206242157
207,-3.11805213152499,-3.1446842450816965,11737829.720267829
208,-3.118060115713131,-3.144684245081684,11738046.753100123
209,-3.118060115713136,-3.144684245081674,15534749.011149293
210,-3.118060115713142,-3.144684245081696,15535634.604706964
211,-3.1180601157131362,-3.144684245081686,21649514.525169175
212,-3.1180601157131265,-3.1446842450816694,21650170.627783254
213,-3.1180601157131287,-3.1446842450816765,22534356.574485574
214,-3.1180601157131336,-3.1446842450816854,22535214.986709267
215,-3.1181669472292195,-3.1446842450816823,26138685.168100495
216,-3.11828282205676,-3.144684245081688,26140434.06309025
217,-3.1182873849290695,-3.1446842450816774,28755625.323290672
218,-3.1182923149482655,-3.1446842450816743,28755678.134719532
219,-3.118292314948273,-3.1446842450816836,31403459.03070526
220,-3.118292314948274,-3.1446842450816885,31405493.827574812
221,-3.1182937162058435,-3.1446842450816774,36427356.74773222
222,-3.118295102767315,-3.144684245081676,36428821.36135927
223,-3.118311333525917,-3.1446842450816823,38684531.182615235
224,-3.1183275059782023,-3.1446842450816743,38686465.79531576
225,-3.1183552584601992,-3.144684245081685,39944984.21149393
226,-3.1183830308182268,-3.144684245081684,39946116.17545556
227,-3.1184171817218163,-3.14468424508168,40073303.125269465
228,-3.118451397828878,-3.144684245081678,40074446.71374472
